nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2020-08-04,1.0 ~ 11.3,1.0,99963.0,2318.076455169365,51.57559266928764,0.03618038674309494,0.03682672588857878,1.96534017586507,1.7284429238818364
Britain,Ground_vehicles,2020-07-30,1.0 ~ 11.3,1.0,96364.0,2233.163387779669,51.607975177452154,0.03575328961022788,0.03607187331368561,1.965024905566394,1.7274978207629408
Britain,Ground_vehicles,2020-07-27,1.0 ~ 11.3,1.0,100579.0,2333.4180993949794,51.5305068652502,0.036071346901440655,0.036053152248481296,1.9555184481850088,1.7262297298640872
Britain,Ground_vehicles,2020-07-24,1.0 ~ 11.3,1.0,102901.0,2388.0411366727426,51.50029610985317,0.035931040514669436,0.03588818378830137,1.95154857581559,1.72707009650052
Britain,Ground_vehicles,2020-07-21,1.0 ~ 11.3,1.0,107867.0,2514.1862848075257,51.41869496695004,0.035142907469383595,0.0359719840173547,1.946101309946508,1.7281494803786146
Britain,Ground_vehicles,2020-07-08,1.0 ~ 11.3,1.0,120067.0,2879.765082868414,51.06187736846927,0.03087867607252617,0.033668618354751934,1.9401006937793066,1.7221705381162182
Britain,Ground_vehicles,2020-07-05,1.0 ~ 11.3,1.0,135632.0,3257.42229729113,50.76205851126578,0.02998422201250442,0.0320894774094609,1.935612613542527,1.7118994042703783
Britain,Ground_vehicles,2020-07-02,1.0 ~ 11.3,1.0,135632.0,3257.42229729113,50.76205851126578,0.02998422201250442,0.0320894774094609,1.935612613542527,1.7118994042703783
Britain,Ground_vehicles,2020-06-29,1.0 ~ 11.3,1.0,136026.0,3216.5566578308208,50.512783511975655,0.0290928204902004,0.030954008792436732,1.9359194565744784,1.6988274300501374
Britain,Ground_vehicles,2020-06-24,1.0 ~ 11.3,1.0,135727.0,3166.661745548751,50.28873017159445,0.028184075386621675,0.029900240924797573,1.9367395580835056,1.6807577711140747
Britain,Ground_vehicles,2020-06-22,1.0 ~ 11.3,1.0,134685.0,3108.6449206879543,50.018763782158366,0.027625793518209155,0.02970702008389947,1.9323547536845231,1.6652132011731076
Britain,Ground_vehicles,2020-06-19,1.0 ~ 11.3,1.0,132950.0,3041.2267885348947,49.75663053779617,0.02740722075968409,0.02919984956750658,1.930663106430989,1.652943061301241
Britain,Ground_vehicles,2020-06-15,1.0 ~ 11.3,1.0,130609.0,3031.0365049225443,49.468547956113284,0.027409596582165092,0.029175324824476115,1.9295086862314235,1.6429563046956948
Britain,Ground_vehicles,2020-06-13,1.0 ~ 11.3,1.0,129490.0,3001.1578531344576,49.30656568074755,0.027577882461966175,0.029423893736968104,1.9271907483203337,1.6357260020078768
Britain,Ground_vehicles,2020-06-12,1.0 ~ 11.3,1.0,128419.0,2975.873117240106,49.1135142774823,0.027998193413747187,0.02994689259377506,1.9291698268947741,1.6309841222872006
Britain,Ground_vehicles,2020-06-10,1.0 ~ 11.3,1.0,127989.0,2966.8786589174883,49.01575815109111,0.028140074537655584,0.03002390830461993,1.9309423466079112,1.6282604755096144
Britain,Ground_vehicles,2020-06-07,1.0 ~ 11.3,1.0,127542.0,2959.4367489588863,48.804046823791374,0.029192187671512132,0.03073489517178655,1.9193558200435934,1.6160529864672029
Britain,Ground_vehicles,2020-06-06,1.0 ~ 11.3,1.0,127571.0,2962.265382750446,48.7393353505107,0.029410759498632137,0.030976632620266363,1.9135761262355868,1.6118329400882645
Britain,Ground_vehicles,2020-06-03,1.0 ~ 11.3,1.0,128264.0,2992.5647574533778,48.54605407596832,0.029558098920975485,0.031685040229526604,1.8905229058816193,1.5964251075905942
Britain,Ground_vehicles,2020-06-01,1.0 ~ 11.3,1.0,129622.0,3039.091912289287,48.47173342488157,0.030225038959435898,0.032286957460924845,1.8762041165851475,1.5851478915616177
Britain,Ground_vehicles,2020-05-29,1.0 ~ 11.3,1.0,134688.0,3187.145578935869,48.40332034034213,0.030691895343311952,0.032689920408648133,1.8420888275124732,1.5677921566880497
Britain,Ground_vehicles,2020-05-26,1.0 ~ 11.3,1.0,137245.0,3238.398205798112,48.32646486210791,0.031088054209625123,0.03250428066596233,1.8296855258843674,1.5604671208422893
Britain,Ground_vehicles,2020-05-24,1.0 ~ 11.3,1.0,140076.0,3323.4956117019474,48.260682129701024,0.031435220880093664,0.03273908449698735,1.8165009709015107,1.5532637996516176
Britain,Ground_vehicles,2020-05-21,1.0 ~ 11.3,1.0,144919.0,3465.3936321077886,48.2786123972702,0.03130659195826634,0.03245268046287927,1.7925022943851392,1.5409333489742545
Britain,Ground_vehicles,2020-05-19,1.0 ~ 11.3,1.0,147937.0,3553.8860986513887,48.34500408957867,0.03170741599464637,0.03224784874642584,1.7736899490999547,1.5305389456322622
Britain,Ground_vehicles,2020-05-17,1.0 ~ 11.3,1.0,150891.0,3640.273149776045,48.40274125030652,0.031879568695283356,0.03242910445288321,1.751595257503761,1.5196138934727716
Britain,Ground_vehicles,2020-05-15,1.0 ~ 11.3,1.0,153500.0,3717.9262957189385,48.45529511400651,0.032059934853420194,0.03236671009771987,1.733824625407166,1.508588403908795
Britain,Ground_vehicles,2020-05-14,1.0 ~ 11.3,1.0,154637.0,3751.5564244619577,48.487654248336426,0.03214644619334312,0.03242141272787237,1.7255014647206037,1.5037840878961695
Britain,Ground_vehicles,2020-05-13,1.0 ~ 11.3,1.0,155629.0,3782.353469071286,48.52157689119637,0.03213475637573974,0.032409576621323787,1.7172987682244314,1.4996952367489351
Britain,Ground_vehicles,2020-05-10,1.0 ~ 11.3,1.0,157564.0,3842.3705788486855,48.71727317153665,0.03200654971947907,0.03243240841816659,1.6904485796247872,1.4873807468711124
Britain,Ground_vehicles,2020-05-07,1.0 ~ 11.3,1.0,157326.0,3842.0090600167196,49.069775752259645,0.03141871019411922,0.032101750505320166,1.6747885282788602,1.4806556449665027
Britain,Ground_vehicles,2020-05-03,1.0 ~ 11.3,1.0,154641.0,3768.4754114522084,49.47421776889699,0.031203109136645524,0.03134311081795901,1.6802269773216678,1.4859985385505787
