name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
f_111a,,,,,,,74.0,42.11,,0.16,3.29,1.48,119.0,,,,,,F-111A
f-5e_aidc,,,,,,,56.0,4.55,1.0,0.34,2.14,1.05,,,,,,,F-5E_(China)
nf_5a_netherlands,13.0,100.0,8.67,7.9,,,277.0,60.19,2.25,3.52,1.73,2.57,,,,,,,◘NF-5A
mirage_3s_c70_switzerland,,,,,,,96.0,55.8,1.75,1.53,0.1,0.06,4.0,,,7.0,,,◌Mirage_IIIS_C.70
mirage_f1ct,15.0,100.0,2.0,2.0,3.0,3.0,41.0,50.0,1.17,1.1,,,,,,,,,Mirage_F1CT
saab_f35_wdns,,,,,,,1.0,,,1.0,,,,,,,,,Saab_F-35
f-5e_switzerland,,,,,,,64.0,70.97,0.76,0.87,0.45,0.42,,,,,,,◌F-5E
su_17m4,179.0,61.72,1.26,1.04,4.5,4.12,28.0,,1.0,0.18,4.0,1.59,20.0,,,,,,Su-17M4
f-4m_fgr2,23.0,100.0,2.13,2.53,1.0,1.0,224.0,60.09,1.22,1.64,1.78,2.41,,,,,,,Phantom_FGR.2
tornado_ids_de_wtd61,30.0,80.0,0.27,0.27,8.2,8.2,983.0,50.54,0.37,0.41,0.51,0.54,31.0,,,,,,◄Tornado_IDS_WTD61
amx,,,,,,,12.0,50.0,1.0,1.3,2.15,2.85,,,,,,,AMX
su_17m2,34.0,100.0,1.0,0.42,1.6,1.08,48.0,97.37,2.05,2.05,2.08,2.21,11.0,,,,,,Su-17M2
jaguar_e,,,,,,,43.0,92.16,0.16,0.5,1.29,2.1,,,,,,,Jaguar_E
jaguar_is,,,,,,,85.0,55.71,1.27,2.5,1.11,2.22,,,,,,,Jaguar_IS
mirage_3e,15.0,100.0,1.0,1.0,5.0,5.0,212.0,50.17,0.72,0.92,3.5,4.49,,,,,,,Mirage_IIIE
f-5e_fcu_thailand,13.0,100.0,3.0,2.23,0.38,0.23,1173.0,59.99,1.05,1.44,0.98,1.34,32.0,,,2.76,,,F-5E_FCU
f-5a_china,,,,,,,23.0,75.0,0.75,1.25,2.0,2.0,,,,,,,F-5A_(China)
buccaneer_s2b,,,,,,,26.0,100.0,,,1.0,1.0,,,,,,,Buccaneer_S.2B
mig-17pf_hungary,,,,,,,,,,,,,,,,,,,◔MiG-17PF
etndard_4m,5.0,,,1.0,,,75.0,61.33,0.22,0.33,1.61,1.96,,,,,,,Etendard_IVM
saab_j29f,,,,,,,49.0,10.0,3.7,3.62,1.8,1.85,,,,,,,J29F
saab_j32b,,,,,,,62.0,60.0,0.8,0.65,0.2,0.19,,,,,,,J32B
f-100d,8.0,50.0,0.5,1.0,1.5,2.13,82.0,52.27,1.58,1.59,0.97,1.06,,,,,,,F-100D
t2_early,65.0,53.33,2.24,1.59,0.1,0.07,287.0,73.37,2.93,3.68,0.24,0.36,,,,,,,T-2_Early
sagittario_2,,,,,,,52.0,57.89,1.53,2.5,0.45,0.58,,,,,,,Sagittario_2
hunter_f50_sweden,,,,,,,124.0,62.13,1.46,1.4,2.79,2.48,,,,,,,J34
su-7bmk,,,,,,,96.0,74.17,0.4,0.47,1.16,1.23,,,,,,,Su-7BMK
yak-30d,15.0,66.67,4.0,6.0,0.7,1.0,,,,,,,,,,,,,Yak-30D
saab_a32a,6.0,100.0,,,8.0,8.0,275.0,43.85,0.38,0.41,1.25,1.35,,,,,,,A32A
hunter_f1,,,,,,,,,,,,,,,,,,,Hunter_F.1
lightning_f6,,,,,,,38.0,50.0,1.45,2.89,0.08,0.16,,,,,,,Lightning_F.6
mig-19pt,5.0,,,,,,120.0,53.57,1.82,0.93,,,,,,,,,MiG-19PT
